日期,时间,分区,使用量,year,month,Time,Used,All,使用率
2023/3/30,18:00:20,SH40/IRDC_Share,158/376,2023,3,18,158,376,42.02
2023/3/30,18:00:20,ABUD/vi_irdc,112/256,2023,3,18,112,256,43.75
2023/3/30,18:00:20,SG2/IRDCSG,40/40,2023,3,18,40,40,100
2023/3/30,22:00:19,SH40/IRDC_Share,286/376,2023,3,22,286,376,76.06
2023/3/30,22:00:19,ABUD/vi_irdc,112/256,2023,3,22,112,256,43.75
2023/3/30,22:00:19,SG2/IRDCSG,32/40,2023,3,22,32,40,80
2023/3/31,10:00:21,SH40/IRDC_Share,365/376,2023,3,10,365,376,97.07
2023/3/31,10:00:21,ABUD/vi_irdc,48/256,2023,3,10,48,256,18.75
2023/3/31,10:00:21,SG2/IRDCSG,24/40,2023,3,10,24,40,60
2023/3/31,14:00:18,SH40/IRDC_Share,349/376,2023,3,14,349,376,92.82
2023/3/31,14:00:18,ABUD/vi_irdc,48/256,2023,3,14,48,256,18.75
2023/3/31,14:00:18,SG2/IRDCSG,32/40,2023,3,14,32,40,80
2023/3/31,18:00:25,SH40/IRDC_Share,349/376,2023,3,18,349,376,92.82
2023/3/31,18:00:25,ABUD/vi_irdc,64/256,2023,3,18,64,256,25
2023/3/31,18:00:25,SG2/IRDCSG,32/40,2023,3,18,32,40,80
2023/3/31,22:24:06,SH40/IRDC_Share,256/376,2023,3,22,256,376,68.09
2023/3/31,22:24:06,ABUD/vi_irdc,32/256,2023,3,22,32,256,12.5
2023/3/31,22:24:06,SG2/IRDCSG,32/40,2023,3,22,32,40,80
2023/4/1,14:00:21,SH40/IRDC_Share,337/376,2023,4,14,337,376,89.63
2023/4/1,14:00:21,ABUD/vi_irdc,32/256,2023,4,14,32,256,12.5
2023/4/1,14:00:21,SG2/IRDCSG,32/40,2023,4,14,32,40,80
2023/4/1,22:00:21,SH40/IRDC_Share,288/376,2023,4,22,288,376,76.6
2023/4/1,22:00:21,ABUD/vi_irdc,32/256,2023,4,22,32,256,12.5
2023/4/1,22:00:21,SG2/IRDCSG,32/40,2023,4,22,32,40,80
2023/4/2,14:00:20,SH40/IRDC_Share,176/376,2023,4,14,176,376,46.81
2023/4/2,14:00:20,ABUD/vi_irdc,16/256,2023,4,14,16,256,6.25
2023/4/2,14:00:20,SG2/IRDCSG,8/40,2023,4,14,8,40,20
2023/4/2,22:00:23,SH40/IRDC_Share,88/376,2023,4,22,88,376,23.4
2023/4/2,22:00:23,ABUD/vi_irdc,16/256,2023,4,22,16,256,6.25
2023/4/2,22:00:23,SG2/IRDCSG,8/40,2023,4,22,8,40,20
2023/4/3,10:00:19,SH40/IRDC_Share,168/376,2023,4,10,168,376,44.68
2023/4/3,10:00:19,ABUD/vi_irdc,32/256,2023,4,10,32,256,12.5
2023/4/3,10:00:19,SG2/IRDCSG,8/40,2023,4,10,8,40,20
2023/4/3,14:00:18,SH40/IRDC_Share,96/376,2023,4,14,96,376,25.53
2023/4/3,14:00:18,ABUD/vi_irdc,32/256,2023,4,14,32,256,12.5
2023/4/3,14:00:18,SG2/IRDCSG,16/40,2023,4,14,16,40,40
2023/4/3,18:00:24,SH40/IRDC_Share,112/376,2023,4,18,112,376,29.79
2023/4/3,18:00:24,ABUD/vi_irdc,16/256,2023,4,18,16,256,6.25
2023/4/3,18:00:24,SG2/IRDCSG,8/40,2023,4,18,8,40,20
2023/4/3,22:00:20,SH40/IRDC_Share,160/376,2023,4,22,160,376,42.55
2023/4/3,22:00:20,ABUD/vi_irdc,48/256,2023,4,22,48,256,18.75
2023/4/3,22:00:20,SG2/IRDCSG,16/40,2023,4,22,16,40,40
2023/4/4,10:00:21,SH40/IRDC_Share,16/376,2023,4,10,16,376,4.26
2023/4/4,10:00:21,ABUD/vi_irdc,48/256,2023,4,10,48,256,18.75
2023/4/4,10:00:21,SG2/IRDCSG,16/40,2023,4,10,16,40,40
2023/4/4,18:15:36,ABUD/vi_irdc,32/256,2023,4,18,32,256,12.5
2023/4/4,18:16:04,ABUD/vi_irdc,32/256,2023,4,18,32,256,12.5
2023/4/4,18:21:53,ABUD/vi_irdc,32/256,2023,4,18,32,256,12.5
2023/4/4,18:22:43,ABUD/vi_irdc,32/256,2023,4,18,32,256,12.5
2023/4/4,18:27:07,SH40/IRDC_Share,192/376,2023,4,18,192,376,51.06
2023/4/4,18:28:21,ABUD/vi_irdc,1月16日,2023,4,18,1,16,6.25
2023/4/4,18:28:21,SH40/IRDC_Share,192/376,2023,4,18,192,376,51.06
2023/4/4,18:29:25,ABUD/vi_irdc,1月16日,2023,4,18,1,16,6.25
2023/4/4,18:29:25,SH40/IRDC_Share,192/376,2023,4,18,192,376,51.06
2023/4/4,18:31:15,ABUD/vi_irdc,1月16日,2023,4,18,1,16,6.25
2023/4/4,18:31:15,SH40/IRDC_Share,192/376,2023,4,18,192,376,51.06
2023/4/4,18:34:25,ABUD/vi_irdc,16/256,2023,4,18,16,256,6.25
2023/4/4,18:34:25,SH40/IRDC_Share,192/376,2023,4,18,192,376,51.06
